Art & Literature,What is the longest running musical in Broadway history?,Cats
Art & Literature,Which Shakespearean Character Has The Most Lines ,Hamlet 
Art & Literature,Who killed Macbeth?,Macduff
Art & Literature,What Was The Name Of Charles Dickens Last Novel Unfinished At His Death ,The Mystery Of Edwin Drood 
Art & Literature,"Who is associated with the address 221B Baker Street, London ?",Sherlock Holmes
Art & Literature,What is the fourth book in the Harry Potter series ,The Goblet Of Fire 
Art & Literature,For What Is Dame Margott Fonteyn Famous ,Ballet Dancing 
Art & Literature,"A realistic style of painting in which everyday life forms the subject matter, as distinguished from religious or historical painting.  ",Genre painting
Art & Literature,On what book was 'Three Days Of The Condor' based?,Six Days Of The Condor
Art & Literature,"From the Hebrew word for 'prophet'. A group of French painters active in the 1890s who worked in a subjective, sometimes mystical style, stressing flat areas of color and pattern. ",Nabis
Art & Literature,Who wrote Great Expectations?,Charles Dickens
Art & Literature,"A termed coined by British art critic Roger Fry to refer to a group of nine-teenth century painters, who were dissatisfied with the limitations of impressionism. It has since been used to refer to various reactions against impressionism, such as fauvism and expressionism.",Postimpressionism
Art & Literature,"Who Co-Wrote (Yeoman Of The Guard), (Lolanthe And The Mikado) ",Gilbert & Sullivan 
Art & Literature,"From which Shakespeare play is this line taken: Goodnight, goodnight! parting is such sweet sorrow, That I should say goodnight till it be morrow.",Romeo and juliet
Art & Literature,"Which Author Wrote The Sound & The Fury, The Wild Palms, And As I Lay Dying ",William Faulkner 
Art & Literature,What was H.G Wells' first novel?,The Time Machine
Art & Literature,This statue was found on the Greek island of Melos in 1820.,Venus de milo
Art & Literature,French impressionist Claude _____,Monet
Art & Literature,In Which Story Does The Schoolboy (Piggy) Star ,Lord Of The Flies 
Art & Literature,"A band of painted or sculpted decoration, often at the top of a wall.   ",Frieze
Art & Literature,Who Wrote The Famous Book 'A Brief History Of Time'' In 1988? ,Stephen Hawking 
Art & Literature,"In one of Donald Horne's novels, as what was Australia dubbed?",The lucky country
Art & Literature,"Three main types of Greek columns are Doric, Ionic, and __________.",Corinthian
Art & Literature,What Are The March Sisters Names In Louisa M Alcotts (Little Woman) ,"Jo, Meg Beth & Amy "
Art & Literature,In which book did four ghosts visit Scrooge?,A Christmas Carol
Art & Literature,What Is The Name Of The Russian National Ballet ,The Kirov Ballet 
Art & Literature,"In 'Romeo and Juliet', about what was Mercutio's long monologue?",Queen Mab
Art & Literature,Who Wrote The Books (The Firm) And (The Pelican Brief) Both Of Which Were Made Into Films? ,John Grisham 
Art & Literature,"Which US author penned the novels ""Of Mice and Men"" and ""East Of Eden""?",John Steinbeck
Art & Literature,Who wrote the shortest ever letter ?,Victor Hugo
Art & Literature,His many Romantic odes include 'Ode to Melancholy' and 'Ode to a Graecian Urn',John Keats
Art & Literature,Who Created Lord Peter Wimsey ,Dorothy L Sayers 
Art & Literature,Under What Pen Name Did Hector Hugh Munro Write ,Saki 
Art & Literature,Water-soluble paint made from pigments and a plastic binder…?  ,Acrylic
Art & Literature,In Swifts Gullivers Travels What Is Gullivers Profession ,Surgeon 
Art & Literature,"A method of watercolor painting, but prepared with a more gluey base, producing a less transparent effect.  ",Gouache
Art & Literature,Who created Sherlock Holmes ?,Sir Arthur Conan Doyle
Art & Literature,Dr. Seuss wrote this book: The Cat in the______.,Hat
Art & Literature,Which Sculptor Produced A Lobster Telephone ,Salvador Dali 
Art & Literature,In Which Century Did Artists First Start Painting On Canvas ,15th Century 
Art & Literature,Name the author of 'The Catcher in the Rye',J.D. Salinger
Art & Literature,The surrealist painter Salvador Dali was a native of which country?,Spain
Art & Literature,What is the name of the main character in Homer's Odyssey?,Odysseus
Art & Literature,"""Our Town"" is a play by whom?",Thornton Wilder
Art & Literature,Which Poet Wrote No Verse During His Time As Poet Laureate ,William Wordsworth 
Art & Literature,"Which Thriller Writers Works Include (The Dark Eyes Of London, Four Just Men & Sanders Of The River) ",Edgar Wallace 
Art & Literature,What controversial book did Germaine Greer write?,The Female Eunuch
Art & Literature,Who Was The Merchant In Shakespear's (The Merchant Of Venice) ,Antonio 
Art & Literature,A Russian abstract movement originated by Malevich c. 1913. It was characterized by flat geometric shapes on plain backgrounds and emphasized the spiritual qualities of pure form.  ,Suprematism
Art & Literature,How is Samuel Clemens better known ?,Mark Twain
Art & Literature,In What Work Does The HAL 9000 Appear ,"2001, A Space Odyssey "
Art & Literature,Who Was Samuel Clemens Better Known As ,Mark Twain 
Art & Literature,What Is Tthe Ballet Term For Spinning On One Foot ,A Piroutte 
Art & Literature,Which Character Created By Dodie Smith Drove A Black & White Car & Wore A Black & White Fur Coat? ,Cruella De Vil 
Art & Literature,Who was the author of 'Dracula'?,Bram Stoker
Art & Literature,"This man was Time magazine's 1938 ""Man of the Year""",Adolf hitler
Art & Literature,What is the opposite of an utopia?,Dystopia
Art & Literature,"In painting, the degree of lightness or darkness in a color.",Values
Art & Literature,"Who is the author of ""Harry Potter"" ?",Joan Rowling
Art & Literature,Who painted the Mona Lisa,Leonardo da vinci
Art & Literature,"From which Shakespeare play is this line taken: Double, double",Macbeth
Art & Literature,Who wrote 'The Time Machine'?,H.G. Wells
Art & Literature,Who wrote 'To Kill A Mockingbird'?,Harper Lee
Art & Literature,"This book, Oscar Wilde's only novel, was used as evidence in his sodomy trial?",The Picture of Dorian Gray
Art & Literature,In Which Country Was John Constable Born ,Suffolk 
Art & Literature,"""The Diary of Anne Frank"" was first published in English under what title",The diary of a young girl
Art & Literature,Who Penned The 1999 Autobiography (Managing My Life)? ,Alex Ferguson 
Art & Literature,What Famous Gothic Novel Was Written By Mary Shelley ,Frankenstein 
Art & Literature,"From which Shakespeare play is this line taken: What in a name That which we call a rose, by any other name would smell as sweet.",Romeo and juliet
Art & Literature,"This magazine used to boast a circulation of 7,777,777.",Better homes and gardens
Art & Literature,In Which City Is The Encyclopediaa Britanica Published ,Chicago 
Art & Literature,What Was Shakespear's Last Completed Play ,The Tempest 
Art & Literature,Which Famous Sculptor Was Refused Entry ToThe French Academy 3 Times ,August Rodin 
Art & Literature,Which Stephen King Novel Is Set At The Overlook Hotel? ,The Shining 
Art & Literature,"An etching tecnique in which a solution of asphalt or resin is used on the plate. It produces prints with rich, gray tones.  ",Aquatint
Art & Literature,What Dutch master painted 64 self-portraits?,Rembrandt
Art & Literature,Which Author's Father Was Imprisoned For Debt ,Charles Dickens 
Art & Literature,Womens magazine launched by New York in the 70's.,Ms
Art & Literature,Who wrote 'The Rose Tattoo'?,Tennessee Williams
Art & Literature,Where Was El Grecho Born ,Crete 
Art & Literature,A movement of the 1960s and 1970s that emphasized the artistic idea over the art object. It attempted to free art from the confines of the gallery and the pedestal.,Conceptual art
Art & Literature,"A late-nineteenth-century French school of painting. It focused on transitory visual impressions, often painted directly from nature, with an emphasis on the changing effects of light and color. ",Impressionism
Art & Literature,"Which English Writer Divided His Novels Into 3 Categories, Novels Of Character & Environment, Romances & Fantasies & Novels Of Ingenuity ",Thomas Hardy 
Art & Literature,Where is the Louvre located,Paris
Art & Literature,Sherlock Holmes lived at 221b _____ street?,Baker
Art & Literature,"In sculpture, the projection of an image or form from its background. Sculpture formed in this manner is described as high relief or low relief (bas-relief), depending on the degree of projection. In painting or drawing, the apparent projection of parts conveying the illusion of three dimensions. ",Relief
Art & Literature,Who Wrote The Novels 'The Hunt For Red October'' And 'Clear And Present Danger'' ,Tom Clancy 
Art & Literature,"A figurative movement that emerged in the United States and Britain in the late 1960s and 1970s. The subject matter, usually everyday scenes, is portrayed in an extremely detailed, exacting style. It is also called superrealism, especially when referring to sculpture.",Photorealism
Art & Literature,"A painting technique using pigments mixed with egg yolk and water. It produces clear, pure colors.",Tempera
Art & Literature,"From which Shakespeare play is this line taken: ""What in a name? That which we call a rose, by any other name would smell as sweet.""",Romeo and Juliet
Art & Literature,Who created Winnie the Pooh?,A. A. Milne
Art & Literature,Homer wrote this account of the Trojan War.,Iliad
Art & Literature,Who won a Pulitzer Prize for Angela's Ashes? ,Frank McCourt 
Art & Literature,Who Is Novelist Helen Fieldings Most Famous Character? ,Bridget Jones 
Art & Literature,How Many Tales Are There In Chaucers Canterbury Tales ,23 
Art & Literature,"Who wrote ""Animal Farm""?",George Orwell
Art & Literature,Who writes the discworld novels?,Terry Pratchett
Art & Literature,"An abstract movement in Europe and the United States, begun in the mid-1950s, based on the effect of optical patterns.",Op art
Art & Literature,Name The Philadelphian Artist Who Introduced The World To (Pop Art) ,Andy Warhol 
Art & Literature,Which Algerian Born French Authors Works Included L'Etranger & La Peste ,Albert Camus 
Art & Literature,What were the dolls in the novel 'Valley Of The Dolls'?,Pills
Art & Literature,Who wrote the 'Dragonriders Of Pern' series?,Anne McCaffrey
Art & Literature,Which novel by Michael Crichton was (best selling paperback) in 1993 ,Jurassic Park 
Art & Literature,"Who is the author of ""Brave New World"" ?",Aldous Huxley
Art & Literature,What was Lestat's last name?,De Lioncourt
Art & Literature,Who was the human companion of Willow?,Mad Mardigan
Art & Literature,Who Penned the Novel 'The Pelican Brief'' That Was Made Into A Film Starring Julia Roberts And Denzil Washington? ,John Grisham 
Art & Literature,What Type Of Animal Is Rupert The Bears Best Friend Bill? ,Badger 
Art & Literature,"Which poet, in his ""Elegy Written in a Country Churchyard"" told us that ""Full many a flower is born to blush unseen / And waste its sweetnes on the desert air.""?",Thomas Gray
Art & Literature,What Are The Christian Names Of JK Rowling Author Of The Harry Potter Books? ,Joanne Kathleen 
Art & Literature,"In The Book The Secret Diary Of Adrian Mole, What Was The Name Of Adrian's Girllfriend ",Pandora 
Art & Literature,Who wrote The Canterbury Tales?,Geoffrey Chaucer
Art & Literature,Who did Macduff kill?,Macbeth
Art & Literature,How Old Was Adrian Mole When He Began Writing His Secret Diary ,13 & Three Quarters 
Art & Literature,What other name does Stephen King write under?,Richard Bachman
Art & Literature,"Stephen King's: ""Salem's _________"".",Lot
Art & Literature,Which Famous Book Contains The Line 'Once Upon A Time There Was A Little Chimney Sweep And His Name Was Tom' ,The Water Babies 
Art & Literature,What Is The Earliest Known Drawing Medium ,Charcoal 
Art & Literature,Who Told Stories About Brer Rabbit & Brer Fox ,Uncle Remus 
Art & Literature,Where Is The Louvre ,"Paris, France "
Art & Literature,What Is The Most Performed Opera In The UK ,La Boheme 
Art & Literature,Whose First Collection Of Short Stories Entitled In Our Time Was Published In 1925 ,Ernest Hemmingway 
Art & Literature,Which Word Created By JK Rowling Gained Entry Into The Oxford English Dictionary In 2003? ,Muggle 
Art & Literature,Which British Artist Is Noted For His Numerous Paintings Of Horses ,George Stubbs 
Art & Literature,Who Wrote (Robinsonn Crusoe) ,Daniel Defoe 
Art & Literature,"Author of ""The Lighthouse"" and ""Eminent Victorians""?",Virginia Woolf
Art & Literature,In which British national daily newspaper does Rupert The Bear appear? ,The Daily Express 
Art & Literature,Which French Authors Novel Germinal Depicts Life In A Mining Community ,Emile Zola 
Art & Literature,What Was Shakespeare's First Play ,Henry VI 
Art & Literature,Which novel by Mary Shelley was subtitled 'The Modern Prometheus'?,Frankenstein
Art & Literature,What Was The Name Of The Author Who Released A Guide To Baby And Child Care In 1946 ,Dr Spock (No Kidding) 
Art & Literature,How many plays is Shakespeare generally credited with today,37
Art & Literature,What Dance Is Associated With Vienna ,The Waltz 
Art & Literature,Which Shakespeare play contains the line 'if music be the food of love play on''? ,Twelfth Night 
Art & Literature,"In Which Book Which Is Also A Film Has The Characters Pod, Arrietty, Homily & Peagreen? ",The Borrowers 
Art & Literature,Who Wrote The Gothic Novel Dracula ,Bram Stoker 
Art & Literature,"What Irish playwright and author, wrote ""The Importance of Being Ernest"" and ""A Picture of Dorian Grey"" among others?",Oscar Wilde
Art & Literature,What is the name of Gandalf's horse,Shadowfax
Art & Literature,"He penned the founding novel of the utopian genre, ""Utopia.""?",Sir Thomas More
Art & Literature,Who is karen Blixen better known as?,Isaak Dinesen
Art & Literature,What book is the film Blade Runner based on ?,Do Androids Dream of Electric Sheep
Art & Literature,"Meaning 'fool the eye' in french. In painting, the fine, detailed rendering of objects to convey the illusion that the painted forms are real and three-dimensional.",Trompe l'oeil
Art & Literature,"In what field of study would you find ""flying buttresses""?",Architecture
Art & Literature,"Who wrote the novel ""The Strange Case of Dr. Jekyll and Mr Hyde"" ?",Stevenson
Art & Literature,Who wrote 'The Canterbury Tales'?,Geoffrey Chaucer
Art & Literature,"A group of English painters formed in 1848. These artists attempted to recapture the style of painting preceding Raphael. They rejected industrialized England and focused on painting from nature, producing detailed, colorful works.",Pre-Raphaelite Brotherhood
Art & Literature,Who Wrote The Tin Tin Stories ,(Georges Remi ) Herge 
Art & Literature,Who Wrote The Gulag Archipelago ,Alexander Solzhenitsyn 
Art & Literature,"In what field of study would you find ""flying buttresses""",Architecture
Art & Literature,What Nationality Was Jospeh Conrad ,Polish 
Art & Literature,Who Wrote The Play (The Mousetrap) ,Agatha Christie 
Art & Literature,What Shakespearean play features the line: A plague on both your houses,Romeo and juliet
Art & Literature,What is the art of tracing designs and making impressions of them called?,Lithography
Art & Literature,As what did H.G. Wells refer to Adolf Hitler?,A certifiable lunatic
Art & Literature,"Referring to the principles of Greek and Roman art of antiquity with its emphasis on harmony, proportion, balance, and simplicity. In a general sense, it refers to art based on accepted standards of beauty.",Classicism
